variable,n,mean,std_dev,min,max
productsSold,98913,0.03189671731723838,0.23131321123325327,0.0,2.0
productsListed,98913,0.017429458210750863,0.1308657531125736,0.0,1.0
socialNbFollowers,98913,3.2944810085630807,0.9944156046039618,3.0,10.0
socialProductsLiked,98913,1.7712231961420641,8.076605689522273,0.0,64.0
seniority,98913,3063.7718702293937,168.2986205045625,2852.0,3205.0
productsSold_log,98913,0.01885458044537204,0.1332405158338328,0.0,1.0986122886681098
productsListed_log,98913,0.012081179817469347,0.09070922780183424,0.0,0.6931471805599453
socialNbFollowers_log,98913,1.440666961249748,0.16317933640325538,1.3862943611198906,2.3978952727983707
socialProductsLiked_log,98913,0.2826102918411354,0.7847164500645637,0.0,4.174387269895637
is_female,98913,0.7695752833297949,0.4211068266069331,0.0,1.0
