country,n_obs,r_squared,coef_products_listed_log,p_products_listed_log,coef_followers_log,p_followers_log,coef_likes_log,p_likes_log,coef_seniority_centered,p_seniority_centered,coef_seniority_centered_sq,p_seniority_centered_sq,coef_is_female,p_is_female
France,25135,0.37580679838067965,0.5437868179395526,2.4093039286419462e-79,0.3557918677825951,2.5904225871073753e-97,0.009062525374312269,0.00018452503561388535,9.390746369476464e-05,0.10391712762972799,1.1995980669372554e-06,0.1348842848380306,-0.004049177113730984,0.01438400813005829
Etats-Unis,20602,0.3148855304309328,0.5344123562152017,3.7535413493419455e-21,0.17420755667069404,1.001715561502654e-25,-0.004808853041048159,0.001261264278710832,4.475922979726261e-05,0.18285254589973543,6.194925340370576e-07,0.181927562930707,-0.0021129762961848843,0.1123142666403622
Royaume-Uni,11310,0.4833049545875363,0.7555960324271356,5.323528050507439e-56,0.308888792591454,2.3925356729596727e-39,0.0002841574701849519,0.9151356709996685,5.664663005030624e-05,0.4595621552691391,6.983316966701563e-07,0.5075703658476005,-0.0020685553652668356,0.3441887698529196
