,coef,std_err,t_or_z,p_value,ci_lower,ci_upper
Intercept,-0.36582417047981364,0.01014492242431212,-36.059829260312796,6.735648257813857e-283,-0.3857080963874195,-0.3459402445722078
productsListed_log,0.6722101108762725,0.003879188696201596,173.2862625462081,0.0,0.664606947698598,0.679813274053947
socialNbFollowers_log,0.25476845185155245,0.0022913129637514387,111.18884931128495,0.0,0.2502775060072367,0.2592593976958682
socialProductsLiked_log,0.0001865405982679327,0.00044732231270337133,0.41701608207420593,0.676667549695784,-0.0006902057533155125,0.0010632869498513778
seniority_centered,3.758200014924903e-05,2.4469645548397723e-05,1.535862057131837,0.12457541444449043,-1.0378210754257072e-05,8.554221105275514e-05
seniority_centered_sq,4.477824333611439e-07,3.3939458893786727e-07,1.3193564304088512,0.18705303463218906,-2.1742687801912337e-07,1.1129917447414112e-06
is_female,-0.004177111747878913,0.0007673582247134847,-5.443496418427728,5.236857949847593e-08,-0.005681124636950312,-0.0026730988588075143
