,productsSold_log,productsListed_log,socialNbFollowers_log,socialProductsLiked_log,seniority_centered,seniority_centered_sq,is_female
productsSold_log,1.0,0.581020009160179,0.4930989195065088,0.21364273683231758,0.00017919753634340523,0.0003255115232536248,-0.0022625776545000024
productsListed_log,0.581020009160179,1.0,0.3953741939700841,0.2019420229993044,-0.00031705645239421526,0.0004022689129904637,0.015273146059737171
socialNbFollowers_log,0.4930989195065088,0.3953741939700841,1.0,0.3871681023460859,-0.020915804235754603,0.021558115299486147,0.012456838454911525
socialProductsLiked_log,0.21364273683231758,0.2019420229993044,0.3871681023460859,1.0,0.00030747730579300193,0.0004385440649935546,0.053500387303636376
seniority_centered,0.00017919753634340523,-0.00031705645239421526,-0.020915804235754603,0.00030747730579300193,1.0,-0.9969257647696235,-0.002525731621931283
seniority_centered_sq,0.0003255115232536248,0.0004022689129904637,0.021558115299486147,0.0004385440649935546,-0.9969257647696235,1.0,0.0030421550984546125
is_female,-0.0022625776545000024,0.015273146059737171,0.012456838454911525,0.053500387303636376,-0.002525731621931283,0.0030421550984546125,1.0
