variable,vif
intercept,988.6687767967259
productsListed_log,1.1894158408637738
socialNbFollowers_log,1.3429137394926534
socialProductsLiked_log,1.1836290189320364
seniority_centered,162.91663703682343
seniority_centered_sq,162.92058876441155
is_female,1.0030667528579111
