,coef,std_err,t_or_z,p_value,ci_lower,ci_upper
Intercept,-0.36582417047981364,0.014394168673692883,-25.41474806727827,1.7327509588397458e-142,-0.3940362226676464,-0.3376121182919809
productsListed_log,0.6722101108762725,0.01695153395454657,39.65482490721608,0.0,0.6389857148426533,0.7054345069098916
socialNbFollowers_log,0.25476845185155245,0.007405707092210529,34.40163763964186,2.3832479107900303e-259,0.24025353267076696,0.26928337103233796
socialProductsLiked_log,0.0001865405982679327,0.0008588194174402629,0.21720584616486963,0.8280479288619313,-0.0014967145291386531,0.0018697957256745184
seniority_centered,3.758200014924903e-05,2.4628584607865154e-05,1.5259504655922125,0.1270222011630204,-1.0689138672364206e-05,8.585313897086226e-05
seniority_centered_sq,4.477824333611439e-07,3.4077123875001214e-07,1.3140264859313275,0.18883729126441617,-2.2011692155597992e-07,1.1156817882782679e-06
is_female,-0.004177111747878913,0.0007689454431386249,-5.432260227499477,5.564469499481626e-08,-0.00568421712250681,-0.0026700063732510164
