productsSold,productsListed,socialNbFollowers,socialProductsLiked,gender,seniority,country,productsSold_log,productsListed_log,socialNbFollowers_log,socialProductsLiked_log,is_female,seniority_centered,seniority_centered_sq,sold_rate
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Allemagne,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,M,3205,Suède,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Turquie,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,M,3205,France,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Royaume-Uni,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,4,F,3205,Royaume-Uni,0.0,0.0,1.3862943611198906,1.6094379124341003,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Italie,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Italie,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,M,3205,France,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Espagne,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Royaume-Uni,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Espagne,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,64,F,3205,Danemark,0.0,0.0,1.3862943611198906,4.174387269895637,1,141.2281297706063,19945.384638503216,
0,0,3,1,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.6931471805599453,1,141.2281297706063,19945.384638503216,
0,0,3,0,M,3205,France,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Royaume-Uni,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,6,0,M,3205,Allemagne,0.0,0.0,1.9459101490553132,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,France,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,France,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,M,3205,Réunion,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,27,M,3205,Allemagne,0.0,0.0,1.3862943611198906,3.332204510175204,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Allemagne,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Suisse,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,M,3205,Suède,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Italie,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Italie,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,M,3205,France,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Allemagne,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Danemark,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Royaume-Uni,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Espagne,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Royaume-Uni,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Chili,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,2,M,3205,Danemark,0.0,0.0,1.3862943611198906,1.0986122886681098,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Royaume-Uni,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,M,3205,Djibouti,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
1,1,10,0,F,3205,France,0.6931471805599453,0.6931471805599453,2.3978952727983707,0.0,1,141.2281297706063,19945.384638503216,1.0
0,0,3,0,M,3205,Italie,0.0,0.0,1.3862943611198906,0.0,0,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Etats-Unis,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,0,F,3205,Italie,0.0,0.0,1.3862943611198906,0.0,1,141.2281297706063,19945.384638503216,
0,0,3,1,F,3205,Congo,0.0,0.0,1.3862943611198906,0.6931471805599453,1,141.2281297706063,19945.384638503216,
